"name_old","name_new","class_old","class_new","value_old","value_new","missings","recodes"
"R0000100","R0000100","integer","integer",".",".","",""
"R0003300","R0003300","integer","integer","1|2|3|4|5|6|.","1|2|3|4|5|6|.","",""
"R0005700","R0005700","integer","integer",".",".","",""
"R0060300","R0060300","integer","integer",".",".","",""
"R1051600","R1051600","integer","integer","-5|-4|9|10|11|12|13|14|15|16|17|18|.","-5|-4|9|10|11|12|13|14|15|16|17|18|.","",""
"R1302000","R1302000","integer","integer","-5|-4|0|1|.","-5|-4|0|1|.","",""
"R1302100","R1302100","integer","integer",".",".","",""
"R1303400","R1303400","integer","integer",".",".","",""
"R6235600","R6235600","integer","integer",".",".","",""
"R6502300","R6502300","integer","integer","-4|1|3|14|.","-4|1|3|14|.","",""
"R6513700","R6513700","integer","integer",".",".","",""
"R6516200","R6516200","integer","integer","-5|1|3|4|5|6|.","-5|1|3|4|5|6|.","",""
"R6520300","R6520300","integer","integer","-5|-4|-2|-1|1|2|3|4|5|6|7|8|9|10|11|.","-5|-4|-2|-1|1|2|3|4|5|6|7|8|9|10|11|.","",""
"R6553600","R6553600","integer","integer","-5|-4|-2|-1|4|5|6|7|8|11|.","-5|-4|-2|-1|4|5|6|7|8|11|.","",""
"R7289200","R7289200","integer","integer","-5|-4|-2|-1|0|1|.","-5|-4|-2|-1|0|1|.","",""
"R7289400","R7289400","integer","integer","-5|-4|-2|0|1|.","-5|-4|-2|0|1|.","",""
"R7293430","R7293430","integer","integer",".",".","",""
"R7312300","R7312300","integer","integer",".",".","",""
"R7329900","R7329900","integer","integer","-5|-4|-2|-1|1|2|3|4|5|6|7|.","-5|-4|-2|-1|1|2|3|4|5|6|7|.","",""
"R7330000","R7330000","integer","integer",".",".","",""
"R7337600","R7337600","integer","integer","-5|-4|0|1|.","-5|-4|0|1|.","",""
"R7344600","R7344600","integer","integer","-5|-4|-2|-1|1|2|3|4|.","-5|-4|-2|-1|1|2|3|4|.","",""
"R7344700","R7344700","integer","integer","-5|-4|-2|-1|0|1|.","-5|-4|-2|-1|0|1|.","",""
"R7347500","R7347500","integer","integer",".",".","",""
"R7347600","R7347600","integer","integer",".",".","",""
"R7347700","R7347700","integer","integer",".",".","",""
"R7477700","R7477700","integer","integer",".",".","",""
"R7477800","R7477800","integer","integer","-5|-4|0|1|2|3|4|5|7|.","-5|-4|0|1|2|3|4|5|7|.","",""
"R7610300","R7610300","integer","integer","-5|0|1|9|.","-5|0|1|9|.","",""
